"id","name","type","health_appointment","start_position","end_position","transport_option","user","bus_stop","train_stop","walking_distance"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-909_(0.35km-4min)","P1-1","stop-ext-909",NA,"(0.35 km, 4 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-910_(0.10km-1min)","P1-1","stop-ext-910",NA,"(0.10 km, 1 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-911_(0.46km-6min)","P1-1","stop-ext-911",NA,"(0.46 km, 6 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-946_(0.73km-9min)","P1-1","stop-ext-946",NA,"(0.73 km, 9 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-977_(0.86km-10min)","P1-1","stop-ext-977",NA,"(0.86 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-1259_(0.55km-7min)","P1-1","stop-ext-1259",NA,"(0.55 km, 7 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-4327_(0.88km-11min)","P1-1","stop-ext-4327",NA,"(0.88 km, 11 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-4626_(0.92km-11min)","P1-1","stop-ext-4626",NA,"(0.92 km, 11 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-ext-5609_(0.87km-10min)","P1-1","stop-ext-5609",NA,"(0.87 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-train-1879_(0.40km-5min)","P1-1",NA,"stop-train-1879","(0.40 km, 5 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-train-1880_(0.91km-11min)","P1-1",NA,"stop-train-1880","(0.91 km, 11 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-165_(0.38km-5min)","P1-2","stop-urb-165",NA,"(0.38 km, 5 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-166_(0.48km-6min)","P1-2","stop-urb-166",NA,"(0.48 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-167_(0.48km-6min)","P1-2","stop-urb-167",NA,"(0.48 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-168_(0.47km-6min)","P1-2","stop-urb-168",NA,"(0.47 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-176_(0.81km-10min)","P1-2","stop-urb-176",NA,"(0.81 km, 10 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-177_(0.85km-10min)","P1-2","stop-urb-177",NA,"(0.85 km, 10 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-178_(0.83km-10min)","P1-2","stop-urb-178",NA,"(0.83 km, 10 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-260_(0.53km-6min)","P1-2","stop-urb-260",NA,"(0.53 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-275_(0.86km-10min)","P1-2","stop-urb-275",NA,"(0.86 km, 10 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-277_(0.31km-4min)","P1-2","stop-urb-277",NA,"(0.31 km, 4 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-283_(0.74km-9min)","P1-2","stop-urb-283",NA,"(0.74 km, 9 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-284_(0.60km-7min)","P1-2","stop-urb-284",NA,"(0.60 km, 7 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-301_(0.34km-4min)","P1-2","stop-urb-301",NA,"(0.34 km, 4 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-322_(0.09km-1min)","P1-2","stop-urb-322",NA,"(0.09 km, 1 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-323_(0.10km-1min)","P1-2","stop-urb-323",NA,"(0.10 km, 1 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-338_(0.76km-9min)","P1-2","stop-urb-338",NA,"(0.76 km, 9 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-339_(0.77km-9min)","P1-2","stop-urb-339",NA,"(0.77 km, 9 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-344_(0.68km-8min)","P1-2","stop-urb-344",NA,"(0.68 km, 8 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-347_(0.51km-6min)","P1-2","stop-urb-347",NA,"(0.51 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-348_(0.66km-8min)","P1-2","stop-urb-348",NA,"(0.66 km, 8 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-349_(0.61km-7min)","P1-2","stop-urb-349",NA,"(0.61 km, 7 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-351_(0.89km-11min)","P1-2","stop-urb-351",NA,"(0.89 km, 11 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-352_(0.47km-6min)","P1-2","stop-urb-352",NA,"(0.47 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-355_(0.52km-6min)","P1-2","stop-urb-355",NA,"(0.52 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-380_(0.53km-6min)","P1-2","stop-urb-380",NA,"(0.53 km, 6 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-386_(0.22km-3min)","P1-2","stop-urb-386",NA,"(0.22 km, 3 min)"
"P1-2","Stefania","healthcare worker","health-appointment-2","ViaPiave-78-38122-Trento","ViadellaMalpensada-156-38123-Trento","P1-2_stop-urb-387_(0.22km-3min)","P1-2","stop-urb-387",NA,"(0.22 km, 3 min)"
