"id","name","type","health_appointment","start_position","end_position","transport_option","user","bus_stop","train_stop","walking_distance"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-165_(0.38km-5min)","P1-1","stop-urb-165",NA,"(0.38 km, 5 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-166_(0.48km-6min)","P1-1","stop-urb-166",NA,"(0.48 km, 6 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-167_(0.48km-6min)","P1-1","stop-urb-167",NA,"(0.48 km, 6 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-168_(0.47km-6min)","P1-1","stop-urb-168",NA,"(0.47 km, 6 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-176_(0.81km-10min)","P1-1","stop-urb-176",NA,"(0.81 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-177_(0.85km-10min)","P1-1","stop-urb-177",NA,"(0.85 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-178_(0.83km-10min)","P1-1","stop-urb-178",NA,"(0.83 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-260_(0.53km-6min)","P1-1","stop-urb-260",NA,"(0.53 km, 6 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-275_(0.86km-10min)","P1-1","stop-urb-275",NA,"(0.86 km, 10 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-277_(0.31km-4min)","P1-1","stop-urb-277",NA,"(0.31 km, 4 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-283_(0.74km-9min)","P1-1","stop-urb-283",NA,"(0.74 km, 9 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-284_(0.60km-7min)","P1-1","stop-urb-284",NA,"(0.60 km, 7 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-301_(0.34km-4min)","P1-1","stop-urb-301",NA,"(0.34 km, 4 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-322_(0.09km-1min)","P1-1","stop-urb-322",NA,"(0.09 km, 1 min)"
"P1-1","Stefania","healthcare worker","health-appointment-1","ViaTemanza-11-38122-BorgoValsugana","ViaPiave-78-38122-Trento","P1-1_stop-urb-323_(0.10km-1min)","P1-1","stop-urb-323",NA,"(0.10 km, 1 min)"
